starting up
Loading symbols from xvid-player.arm9.elf ... OK
Seen 1272 symbols, stored 891 function offsets
	address	calls	ms	ms/call	ms/frame	lowest stack	highest stack	function name

	0x2000384	5292582	336649.6183	0.064	561.083	12940	15468	hblankHandler
	0x2000400	  1558	    3.3079	0.002	0.006	15400	15400	dec_main
	0x2044104	  1558	    1.2087	0.001	0.002	15376	15376	xvid_decore
	0x203ffd4	 72474	   28.8804	0.000	0.048	15168	15168	decoder_decode
	0x2001d0c	 29206	   10.1145	0.000	0.017	14760	14760	BitstreamReadHeaders
	0x20007fc	 18616	    2.9262	0.000	0.005	14712	14736	BitstreamSkip
	0x2000874	 25452	    5.5344	0.000	0.009	14736	14736	BitstreamGetBits
	0x203b770	     7	    0.0636	0.009	0.000	15120	15120	decoder_resize
	0x2011cf4	     6	    0.0000	0.000	0.000	15096	15096	image_destroy
	0x203a680	     3	    0.0000	0.000	0.000	15104	15104	xvid_free
	0x2011d70	     6	    0.0000	0.000	0.000	15088	15088	image_create
	0x203a6d0	    21	    0.0000	0.000	0.000	15072	15104	xvid_malloc
	0x20003c4	 20124	    0.1272	0.000	0.000	12940	15456	vblankHandler
	0x2038c38	  1558	    0.5725	0.000	0.001	15160	15160	emms_c
	0x200480c	872750	   75.5089	0.000	0.126	14992	15136	check_resync_marker
	0x2004fc0	 26496	    3.1170	0.000	0.005	15144	15144	get_mcbpc_intra
	0x2004dac	476154	   35.1145	0.000	0.059	14992	15136	get_cbpy
	0x203c250	3915450	 1375.8906	0.000	2.293	13080	13224	decoder_mbintra
	0x2037aa0	2505888	  318.6387	0.000	0.531	13032	13176	predict_acdc
	0x2004c5c	626472	   40.7761	0.000	0.068	13056	13200	get_dc_size_lum
	0x2005350	921496	   91.4758	0.000	0.152	13048	13192	get_dc_dif
	0x2037904	1252734	  120.9924	0.000	0.202	13048	13192	add_acdc
	0x20382a0	313236	   76.9084	0.000	0.128	13048	13192	dequant_h263_intra_c
	0x2008a34	588977	  101.9084	0.000	0.170	12976	14344	idct_int32
	0x20051c0	469388	   49.1730	0.000	0.082	13056	13200	get_dc_size_chrom
	0x203ab08	313236	   22.8372	0.000	0.038	13048	13192	transfer_16to8copy_c
	0x20057c0	8509993	 1299.2366	0.000	2.165	13024	13168	get_intra_block
	0x203b5ec	  3024	    1.6539	0.001	0.003	15096	15096	decoder_output
	0x2010894	  1512	    2.8626	0.002	0.005	15016	15016	image_output
	0x201079c	  1512	    0.0000	0.000	0.000	14952	14952	safe_packed_conv
	0x200d014	  1512	    0.1272	0.000	0.000	14808	14808	yv12_to_rgb555_c
	0x2010ea8	  3024	    0.5089	0.000	0.001	15152	15152	image_swap
	0x2011a30	   124	    0.0000	0.000	0.000	15144	15144	image_copy
	0x203f24c	2494543	  723.6641	0.000	1.206	15024	15024	decoder_pframe
	0x20116a4	  1342	    0.0000	0.000	0.000	14912	14912	image_setedges
	0x203d344	2113415	 1083.9695	0.001	1.807	14808	14808	decoder_mbinter
	0x203bfec	214290	   29.5165	0.000	0.049	14776	14776	validate_vector
	0x203a7a8	808792	  202.9262	0.000	0.338	14776	14776	transfer8x8_copy_c
	0x2004e98	545124	   50.3181	0.000	0.084	15000	15000	get_mcbpc_inter
	0x203c6d4	389934	  185.3690	0.000	0.309	14960	14960	get_motion_vector
	0x2037724	194967	   26.9720	0.000	0.045	14880	14880	get_pmv2
	0x200544c	2862464	  404.7074	0.000	0.675	14920	14920	get_mv
	0x203bc2c	1739817	  622.0738	0.000	1.037	14448	14448	decoder_mb_decode
	0x2038778	275741	   46.8830	0.000	0.078	14432	14432	get_inter_matrix
	0x2004968	6443441	 1034.5420	0.000	1.724	14384	14384	get_inter_block_h263
	0x203a814	275741	   77.2901	0.000	0.129	14416	14416	transfer_16to8add_c
	0x2014a98	213953	   65.7125	0.000	0.110	14768	14768	interpolate8x8_halfpel_h_c
	0x201402c	173279	   46.8193	0.000	0.078	14752	14752	interpolate8x8_halfpel_hv_c
	0x20145d8	 89716	   38.2952	0.000	0.064	14776	14776	interpolate8x8_halfpel_v_c
total time 344.96, 574.93 ms per frame, 1.74 fps
done
